PREFERRED_ABBRV|PREFERRED_FULL|PREFERRED_NLMID|PREFERRED_ISSN_PRINT|PREFERRED_ISSN_ONLINE|START_YEAR|END_YEAR|FULL_TRAIL_LENGTH|FULL_TRAIL
Int J Transp Phenom|International journal of transport phenomena|101542817|1028-6578|1540-0069|1999|uuuu|0|
J Aggress Confl Peace Res|Journal of aggression, conflict and peace research|101542818|1759-6599|2042-8715|2009|uuuu|0|
Int J Life Sci Technol|International journal of life sciences and technology|101542822||0974-5335|uuuu|uuuu|0|
Saf Health Work|Safety and health at work|101542940|2093-7911|2093-7997|2010|uuuu|0|
J Algebr Stat|Journal of algebraic statistics|101542941||1309-3452|2010|uuuu|0|
Procedia Chem|Procedia chemistry|101543073||1876-6196|2009|uuuu|0|
Int J Polym Sci|International journal of polymer science|101543201|1687-9422|1687-9430|2008|uuuu|0|
J Clin Metab Diabetes|Journal of clinical metabolism & diabetes|101543212|||2010|uuuu|0|
In Vivo (Brooklyn)|In vivo|101543215|||19uu|uuuu|0|
Neurol Res Int|Neurology research international|101543314|2090-1852|2090-1860|2010|uuuu|0|
J Microbiol Biol Educ|Journal of microbiology & biology education|101543341|1935-7877|1935-7885|2000|2006|1|Microbiol Educ (101187604) -Continued by-> J Microbiol Biol Educ (101543341)
Clin Cosmet Investig Dermatol|Clinical, cosmetic and investigational dermatology|101543449||1178-7015|2008|uuuu|0|
J Asthma Allergy|Journal of asthma and allergy|101543450||1178-6965|2008|uuuu|0|
Warasan Wichai Mo Kho (Chobap Bandit Sueksa)|Warasan wichai Mo Kho. (Chobap Bandit Sueksa)|101543458|1906-201X||2001|uuuu|0|
J Aging Res|Journal of aging research|101543460|2090-2204|2090-2212|2010|uuuu|0|
J Adolesc Young Adult Oncol|Journal of adolescent and young adult oncology|101543508|2156-5333|2156-535X|2011|uuuu|0|
Ther Hypothermia Temp Manag|Therapeutic hypothermia and temperature management|101543518|2153-7658|2153-7933|2011|uuuu|0|
Spermatogenesis|Spermatogenesis|101543545|2156-5554|2156-5562|2011|uuuu|0|
J Earth Sci|Journal of earth science (Wuhan, China)|101543628|1674-487X|1867-111X|2009|uuuu|0|
Res Synth Methods|Research synthesis methods|101543738|1759-2879|1759-2887|2010|uuuu|0|
Saudi J Biol Sci|Saudi journal of biological sciences|101543796|1319-562X|2213-7106|1998|uuuu|0|
Wiley Interdiscip Rev Clim Change|Wiley interdisciplinary reviews. Climate change|101543806|1757-7780|1757-7799|2010|uuuu|0|
Biol Aujourdhui|Biologie aujourd'hui|101544020|2105-0678|2105-0686|1999|2009|1|J Soc Biol (100890617) -Continued by-> Biol Aujourdhui (101544020)
Evid Policy|Evidence & policy : a journal of research, debate and practice|101544368|1744-2648|1744-2656|2005|uuuu|0|
Agric Econ|Agricultural economics (Amsterdam, Netherlands)|101544386|0169-5150|1574-0862|1986|uuuu|0|
Integr Comput Aided Eng|Integrated computer-aided engineering|101544483|1069-2509|1875-8835|1993|uuuu|0|
Cell Med|Cell medicine|101544564||2155-1790|2010|uuuu|0|
Int J Head Neck Surg|International journal of head and neck surgery|101544568|0975-7899|0976-0539|2010|uuuu|0|
Oryza (Cuttack)|Oryza|101544712|0474-7615||1962|uuuu|0|
J Nucleic Acids Investig|Journal of nucleic acids investigation|101544718|2036-7996|2035-6005|2009|uuuu|0|
Iran J Virol|Iranian journal of virology|101544742|1735-5680||200u|uuuu|0|
Contrib Econ Analysis Policy|Contributions to economic analysis & policy|101544753||1538-0645|2002|2006|0|
Drug Healthc Patient Saf|Drug, healthcare and patient safety|101544775||1179-1365|2009|uuuu|0|
Int J Refrig|Revue internationale du froid / Institut international du froid = International journal of refrigeration / International Institute of Refrigeration|101544778|0140-7007|1879-2081|1978|uuuu|0|
Gend Work Organ|Gender, work, and organization|101544781|0968-6673|1468-0432|1994|uuuu|0|
Math Comput Model Dyn Syst|Mathematical and computer modelling of dynamical systems|101544784|1387-3954|1744-5051|1998|uuuu|0|
Harvard Health Policy Rev|Harvard health policy review : a student publication of the Harvard Interfaculty Initiative in Health Policy|101544796|1533-774X|1945-5070|2000|uuuu|0|
Hepat Med|Hepatic medicine : evidence and research|101544801||1179-1535|2009|uuuu|0|
Proc IEEE Int Conf Inf Reuse Integr|Proceedings of the ... IEEE International Conference on Information Reuse and Integration. IEEE International Conference on Information Reuse and Integration|101544822|||2003|uuuu|0|
Proc IEEE Int Conf Semant Comput|Proceedings / IEEE International Conference on Semantic Computing ... ICSC. IEEE International Conference on Semantic Computing|101544842|||2008|uuuu|0|
Front Psychiatry|Frontiers in psychiatry|101545006||1664-0640|2010|uuuu|0|
Sort (Barc)|SORT (Barcelona)|101545062|1696-2281|2013-8830|2003|uuuu|0|
Technol Innov|Technology and innovation|101545118|1949-8241||2010|uuuu|0|
Int J Biomed Nanosci Nanotechnol|International journal of biomedical nanoscience and nanotechnology|101545187|1756-0799|1756-0802|2010|uuuu|0|
Int J Divers Organ Communities Nations|The international journal of diversity in organisations, communities and nations|101545287|1447-9532||2003|uuuu|0|
Polymers (Basel)|Polymers|101545357||2073-4360|2009|uuuu|0|
Vibrant|Vibrant|101545401|1913-5122||2007|uuuu|0|
Pract Neurol (Fort Wash Pa)|Practical neurology (Fort Washington, Pa.)|101545459|1540-1367||2002|uuuu|0|
Zhongguo Yi Miao He Mian Yi|Zhongguo yi miao he mian yi|101545586|1006-916X||2008|uuuu|0|
Zhonghua Linxue Jikan|Zhonghua lin xue ji kan = Quarterly journal of Chinese forestry|101545864|0578-1345||1967|uuuu|0|
Chem Sci|Chemical science (Royal Society of Chemistry : 2010)|101545951|2041-6520|2041-6539|2010|uuuu|0|
Trudy BGTU|Trudy BGTU|101546050|1683-0377||1993|uuuu|0|
Haiyang Yu Huzhao|Haiyang yu huzhao = Oceanologia et limnologia sinica|101546358|0029-814X||1957|uuuu|0|
J Bot|Journal of botany|101546387|2090-0120|2090-0139|2009|uuuu|0|
J Mar Biol|Journal of marine biology|101546389||1687-949X|2008|uuuu|0|
World J Biol Chem|World journal of biological chemistry|101546471||1949-8454|2010|uuuu|0|
Evid Based Spine Care J|Evidence-based spine-care journal|101546672|1663-7976|1869-4136|2010|uuuu|0|
Han Gug Eoryu Hag Hoeji|Han-gug eoryu hag-hoeji = Korean Journal of Ichthyology|101546729|1225-8598||1989|uuuu|0|
Autoimmune Dis|Autoimmune diseases|101546750|2090-0422|2090-0430|2010|uuuu|0|
Biochem Res Int|Biochemistry research international|101546751|2090-2247|2090-2255|2008|2009|1|Res Lett Biochem (101559041) -Continued by-> Biochem Res Int (101546751)
Depress Res Treat|Depression research and treatment|101546752|2090-1321|2090-133X|2010|uuuu|0|
Int J Nephrol|International journal of nephrology|101546753|2090-214X|2090-2158|2010|uuuu|0|
J Skin Cancer|Journal of skin cancer|101546757|2090-2905|2090-2913|2011|uuuu|0|
Desalination Water Treat|Desalination and water treatment|101546871|1944-3994|1944-3986|2009|uuuu|0|
Front Neurol|Frontiers in neurology|101546899||1664-2295|2010|uuuu|0|
Investig Genet|Investigative genetics|101546908||2041-2223|2010|uuuu|0|
BMJ Qual Saf|BMJ quality & safety|101546984|2044-5415|2044-5423|2002|2010|1|Qual Saf Health Care (101136980) -Continued by-> BMJ Qual Saf (101546984)
Shanghai Jiao Tong Da Xue Xue Bao Yi Xue Ban|Shanghai jiao tong da xue xue bao. Yi xue ban|101547158||1674-8115|2006|uuuu|0|
Ind Psychiatry J|Industrial psychiatry journal|101547239|0972-6748|0976-2795|1988|uuuu|0|
J Forensic Dent Sci|Journal of forensic dental sciences|101547241|0975-1475|0975-2137|2009|uuuu|0|
Sheng Wu Ji Shu Tong Bao|Sheng wu ji shu tong bao = Biotechnology bulletin|101547244|1002-5464||1985|uuuu|0|
World J Gastrointest Pharmacol Ther|World journal of gastrointestinal pharmacology and therapeutics|101547456||2150-5349|2010|uuuu|0|
World J Gastrointest Pathophysiol|World journal of gastrointestinal pathophysiology|101547471||2150-5330|2010|uuuu|0|
World J Diabetes|World journal of diabetes|101547524||1948-9358|2010|uuuu|0|
Prim Care Companion CNS Disord|The primary care companion to CNS disorders|101547532|2155-7772|2155-7780|2010|uuuu|0|
EMS World|EMS world|101547538|||1972|2010|2|Emerg Med Serv (0431735) -Continued by-> EMS Mag (101466002) -Continued by-> EMS World (101547538)
Agarica|Agarica : mykologisk tidsskrift|101547927|0800-1820||1980|uuuu|0|
MSMR|MSMR|101548156|2158-0111|2152-8217|1995|uuuu|0|
Vestn VOGiS|Vestnik VOGiS|101548221||1814-5558|1998|2010|0|
PhytoKeys|PhytoKeys|101548554|1314-2011|1314-2003|2010|uuuu|0|
Boletus|Boletus|101548638|0232-4598||1977|uuuu|0|
Mar Freshw Behav Physiol|Marine and freshwater behaviour and physiology|101548682|1023-6244|1029-0362|1994|uuuu|0|
Medicare Medicaid Res Rev|Medicare & medicaid research review|101548901||2159-0354|1979|2009|1|Health Care Financ Rev (7909994) -Continued by-> Medicare Medicaid Res Rev (101548901)
Front Pharmacol|Frontiers in pharmacology|101548923||1663-9812|2010|uuuu|0|
Biol Sex Differ|Biology of sex differences|101548963||2042-6410|2010|uuuu|0|
Front Synaptic Neurosci|Frontiers in synaptic neuroscience|101548972||1663-3563|2009|uuuu|0|
Front Microbiol|Frontiers in microbiology|101548977||1664-302X|2010|uuuu|0|
Front Physiol|Frontiers in physiology|101549006||1664-042X|2010|uuuu|0|
Food Funct|Food & function|101549033|2042-6496|2042-650X|2010|uuuu|0|
Ther Adv Drug Saf|Therapeutic advances in drug safety|101549074|2042-0986|2042-0994|2010|uuuu|0|
World J Clin Oncol|World journal of clinical oncology|101549149||2218-4333|2010|uuuu|0|
Chunlasan Phantusart|Chunlasan phantusart|101549356|0857-8664||1981|uuuu|0|
Front Med|Frontiers of medicine|101549428|2095-0217|2095-0225|2007|2010|1|Front Med China (101392716) -Continued by-> Front Med (101549428)
Vertebr Zool|Vertebrate zoology|101549447|1864-5755||2007|uuuu|0|
Adv NPs PAs|Advance for NPs & PAs|101549550|2325-6699|2325-6702|2010|uuuu|0|
Arch Razi Inst|Archives of Razi Institute|101549567|||1999|uuuu|0|
J Cardiol Cases|Journal of cardiology cases|101549579||1878-5409|2010|uuuu|0|
Ther Adv Hematol|Therapeutic advances in hematology|101549589|2040-6207|2040-6215|2010|uuuu|0|
Pediatr Allergy Immunol Pulmonol|Pediatric allergy, immunology, and pulmonology|101549629|2151-321X|2151-3228|1987|2009|1|Pediatr Asthma Allergy Immunol (8708372) -Continued by-> Pediatr Allergy Immunol Pulmonol (101549629)
World J Emerg Med|World journal of emergency medicine|101549691|1920-8642||2010|uuuu|0|
Innov Clin Neurosci|Innovations in clinical neuroscience|101549695|2158-8333|2158-8341|2004|2010|1|Psychiatry (Edgmont) (101484252) -Continued by-> Innov Clin Neurosci (101549695)
J Diabetes Metab|Journal of diabetes & metabolism|101549907||2155-6156|2010|uuuu|0|
Am J Cancer Res|American journal of cancer research|101549944||2156-6976|2011|uuuu|0|
J Trop Subtrop Botany|Re dai ya re dai zhi wu xue bao = Journal of tropical and subtropical botany / Zhongguo ke xue yuan Hua nan zhi wu yan jiu suo, Guangdong sheng zhi wu xue hui zhu ban|101549945|1005-3395||1993|uuuu|0|
Biochem Insights|Biochemistry insights|101549953||1178-6264|2008|uuuu|0|
Bull Chem Soc Ethiop|Bulletin of the Chemical Society of Ethiopia|101549991|1011-3924|1726-801X|1987|uuuu|0|
Card Electrophysiol Clin|Cardiac electrophysiology clinics|101549998|1877-9182|1877-9190|2009|uuuu|0|
Dent Hypotheses|Dental hypotheses|101550002||2155-8213|2010|uuuu|0|
Dig Tech Pap IEEE Int Solid State Circuits Conf|Digest of technical papers / IEEE International Solid-State Circuits Conference. IEEE International Solid-State Circuits Conference|101550004|0193-6530||1969|uuuu|0|
J Test Eval|Journal of testing and evaluation|101550009|0090-3973|1945-7553|1973|uuuu|0|
J Indian Soc Agric Stat|Journal of the Indian Society of Agricultural Statistics. Indian Society of Agricultural Statistics|101550018|0019-6363||1948|uuuu|0|
Environ Fluid Mech (Dordr)|Environmental fluid mechanics (Dordrecht, Netherlands : 2001)|101550034|1567-7419|1573-1510|2001|uuuu|0|
Equity Excell Educ|Equity & excellence in education : University of Massachusetts School of Education journal|101550035|1066-5684|1547-3457|1993|uuuu|0|
Eur J Polit Econ|European journal of political economy|101550054|0176-2680|1873-5703|1989|uuuu|0|
Evolution (N Y)|Evolution|101550060|1936-6426|1936-6434|2008|uuuu|0|
J Vaccines Vaccin|Journal of vaccines & vaccination|101550070||2157-7560|2010|uuuu|0|
Cao Ye Xue Bao|Cao ye xue bao = Acta prataculturae Sinica = Caoye xuebao|101550082|1004-5759||19uu|uuuu|0|
J Tissue Eng|Journal of tissue engineering|101550131||2041-7314|2010|uuuu|0|
Educ Horiz|Educational horizons|101550160|0013-175X||1953|uuuu|0|
Nano Commun Netw|Nano communication networks|101550164|1878-7789|1878-7797|2010|uuuu|0|
Nanosci Nanotechnol Lett|Nanoscience and nanotechnology letters (Print)|101550168|1941-4900|1941-4919|2009|uuuu|0|
High Press Res|High pressure research|101550174|0895-7959|1477-2299|1988|uuuu|0|
Hist Geo Space Sci|History of geo- and space sciences|101550175|2190-5010|2190-5029|2010|uuuu|0|
Int J Comput Vis Biomech|International journal for computational vision and biomechanics|101550180|0973-6778||2008|uuuu|0|
J Addict Res Ther|Journal of addiction research & therapy|101550185||2155-6105|2010|uuuu|0|
Nutr Metab Insights|Nutrition and metabolic insights|101550186||1178-6388|2008|uuuu|0|
Adv Appl Bioinform Chem|Advances and applications in bioinformatics and chemistry : AABC|101550215||1178-6949|2008|uuuu|0|
Infect Drug Resist|Infection and drug resistance|101550216||1178-6973|2008|uuuu|0|
Int J Nephrol Renovasc Dis|International journal of nephrology and renovascular disease|101550217||1178-7058|2008|uuuu|0|
Genet Res (Camb)|Genetics research|101550220|0016-6723|1469-5073|1960|2007|1|Genet Res (0370741) -Continued by-> Genet Res (Camb) (101550220)
J AIDS Clin Res|Journal of AIDS & clinical research|101550222||2155-6113|2010|uuuu|0|
Psychol Violence|Psychology of violence|101550224|2152-0828|2152-081X|2011|uuuu|0|
J Appl Econ|Journal of applied economics|101550228|1514-0326|1667-6726|1998|uuuu|0|
J Appl Remote Sens|Journal of applied remote sensing|101550230||1931-3195|2007|uuuu|0|
J Bioanal Biomed|Journal of bioanalysis & biomedicine|101550236||1948-593X|2009|uuuu|0|
J Cell Sci Ther|Journal of cell science & therapy|101550241||2157-7013|2010|uuuu|0|
J Chem Chem Eng|Journal of chemistry and chemical engineering|101550242|1934-7375||2007|uuuu|0|
J Dev Entrep|Journal of developmental entrepreneurship : JDE|101550243|1084-9467||1996|uuuu|0|
Qual Eng|Quality engineering|101550255|0898-2112|1532-4222|1988|uuuu|0|
Proc Int Conf Mach Learn Appl|Proceedings of the ... International Conference on Machine Learning and Applications. International Conference on Machine Learning and Applications|101550260|||200u|uuuu|0|
Int Forum Allergy Rhinol|International forum of allergy & rhinology|101550261|2042-6976|2042-6984|2011|uuuu|0|
Remote Sens Lett|Remote sensing letters (Print)|101550266|2150-704X|2150-7058|2010|uuuu|0|
Surf Coat Technol|Surface & coatings technology|101550294|0257-8972|1879-3347|1986|uuuu|0|
Brain Connect|Brain connectivity|101550313|2158-0014|2158-0022|2011|uuuu|0|
Eur J Cardiovasc Med|The European journal of cardiovascular medicine|101550317|2042-4884|2042-4892|2010|uuuu|0|
J Equity Health|The journal of equity in health|101550321|||2008|uuuu|0|
Open Nutraceuticals J|The open nutraceuticals journal|101550324||1876-3960|2008|uuuu|0|
Transl Neurosci|Translational neuroscience|101550327|2081-3856|2081-6936|2010|uuuu|0|
J Adv Pract Oncol|Journal of the advanced practitioner in oncology|101550346|2150-0878|2150-0886|2010|uuuu|0|
Webmedcentral|WebmedCentral|101550379||2046-1690|2010|uuuu|0|
Decis Support Syst|Decision support systems|101550449|0167-9236|1873-5797|1985|uuuu|0|
J Eng Mater Technol|Journal of engineering materials and technology|101550468|0094-4289|1528-8889|1973|uuuu|0|
Asian J Plant Pathol|Asian journal of plant pathology|101550537|1819-1541||2006|uuuu|0|
Soc Psychol Educ|Social psychology of education : an international journal|101550788|1381-2890|1573-1928|1996|uuuu|0|
J Appl Comput Sci Methods|Journal of Applied Computer Science Methods|101550790|1689-9636||2009|uuuu|0|
Int Neurotrauma Lett|International neurotrauma letter|101550833|||199u|uuuu|0|
Surf Sci Rep|Surface science reports|101550866|0167-5729|1879-274X|1981|uuuu|0|
J Blood Med|Journal of blood medicine|101550884||1179-2736|2010|uuuu|0|
Data Knowl Eng|Data & knowledge engineering|101550897|0169-023X|1872-6933|1985|uuuu|0|
Front Psychol|Frontiers in psychology|101550902||1664-1078|2010|uuuu|0|
Mark Lett|Marketing letters|101550905|0923-0645|1573-059X|1989|uuuu|0|
Pol Bot J|Polish botanical journal|101550945|1641-8190||2001|uuuu|0|
J Oral Microbiol|Journal of oral microbiology|101551049||2000-2297|2009|uuuu|0|
Genes (Basel)|Genes|101551097||2073-4425|2009|uuuu|0|
J Biomed Res|Journal of biomedical research|101551157|1674-8301||2010|uuuu|0|
Patient Relat Outcome Meas|Patient related outcome measures|101551170||1179-271X|2010|uuuu|0|
Adv Sci Lett|Advanced science letters|101551253|1936-6612|1936-7317|2008|uuuu|0|
Mechatronics (Oxf)|Mechatronics : the science of intelligent machines|101551281|0957-4158|1873-4006|1991|uuuu|0|
Open Access Anim Physiol|Open access animal physiology|101551288||1179-2779|2009|uuuu|0|
J Neuroparasitology|Journal of neuroparasitology|101551303|2090-2344|2090-2352|2010|uuuu|0|
J Ayurveda Integr Med|Journal of Ayurveda and integrative medicine|101551404|0975-9476|0976-2809|2010|uuuu|0|
Chiropr Man Therap|Chiropractic & manual therapies|101551481||2045-709X|1992|2010|3|COMSIG Rev (9421515) -Continued by-> Australas Chiropr Osteopathy (9617139) -Continued by-> Chiropr Osteopat (101245797) -Continued by-> Chiropr Man Therap (101551481)
ISPRS J Photogramm Remote Sens|ISPRS journal of photogrammetry and remote sensing : official publication of the International Society for Photogrammetry and Remote Sensing (ISPRS)|101551484|0924-2716|1872-8235|1989|uuuu|0|
Open Obes J|The open obesity journal|101551494||1876-8237|2009|uuuu|0|
J Community Genet|Journal of community genetics|101551501|1868-310X|1868-6001|2010|uuuu|0|
J Transp Land Use|Journal of transport and land use|101551503||1938-7849|2008|uuuu|0|
Stem Cell Stud|Stem Cell Studies|101551506||2038-9566|2010|uuuu|0|
J Lab Physicians|Journal of laboratory physicians|101551511|0974-2727|0974-7826|2009|uuuu|0|
Perspect Clin Res|Perspectives in clinical research|101551517|2229-3485|2229-5488|2010|uuuu|0|
Herpesviridae|Herpesviridae|101551529||2042-4280|2010|uuuu|0|
Pediatr Rep|Pediatric reports|101551542|2036-749X|2036-7503|2009|uuuu|0|
J Venom Res|Journal of venom research|101551555||2044-0324|2010|uuuu|0|
Beilstein J Nanotechnol|Beilstein journal of nanotechnology|101551563||2190-4286|2010|uuuu|0|
Neurol Int|Neurology international|101551564|2035-8385|2035-8377|2009|uuuu|0|
Bol Soc Argent Bot|Boletin de la Sociedad Argentina de Botanica. Sociedad Argentina de Botanica|101551590|0373-580X|1851-2372|1945|uuuu|0|
J Med Cases|Journal of medical cases|101551824|1923-4155|1923-4163|2010|uuuu|0|
Org Chem Int|Organic chemistry International|101551828|2090-200X|2090-2018|2008|uuuu|0|
J Fluids Eng|Journal of fluids engineering|101551830|0098-2202|1528-901X|1973|uuuu|0|
Biodivers Ecol|Biodiversity and ecology = Biodiversitat und Okologie|101551934|1613-9801||2002|uuuu|0|
Rev Mex Trastor Aliment|Revista Mexicana de trastornos alimentarios = Mexican journal of eating disorders|101551960||2007-1523|2010|uuuu|0|
J Oral Maxillofac Res|Journal of oral & maxillofacial research|101552108||2029-283X|2010|uuuu|0|
J Pharmacol Pharmacother|Journal of pharmacology & pharmacotherapeutics|101552113|0976-500X|0976-5018|2010|uuuu|0|
Limnology (Tokyo)|Limnology / The Japanese Society of Limnology|101552165|1439-8621|1439-863X|2000|uuuu|0|
Int Rice Res Notes|International rice research notes|101552168|0117-4185||1993|uuuu|0|
Proc Int Conf Biomed Eng Inform|Proceedings of the International Conference on Biomedical Engineering and Informatics. International Conference on Biomedical Engineering and Informatics|101552235|1948-2914|1948-2922|2008|uuuu|0|
Open Parasitol J|The open parasitology journal|101552240||1874-4214|2007|uuuu|0|
Top Organomet Chem|Topics in organometallic chemistry|101552265|1436-6002|1616-8534|1998|uuuu|0|
Cont Shelf Res|Continental shelf research|101552269|0278-4343|1873-6955|1982|uuuu|0|
Fauna Norv|Fauna norvegica|101552316|1502-4873|1891-5396|2000|uuuu|0|
Biotechnol Res Int|Biotechnology research international|101552363|2090-3138|2090-3146|2011|uuuu|0|
Theranostics|Theranostics|101552395||1838-7640|2011|uuuu|0|
Eur Paediatr Rev|European paediatrics review|101552455|1757-1006|1757-1014|2007|uuuu|0|
Innov Syst Softw Eng|Innovations in systems and software engineering|101552463|1614-5046|1614-5054|2005|uuuu|0|
Pregnancy Hypertens|Pregnancy hypertension|101552483|2210-7789||2011|uuuu|0|
Eur Oncol|European oncology|101552551|1758-3853|1758-3861|2008|uuuu|0|
Ulcers|Ulcers|101552557|2090-1526|2090-1534|2010|uuuu|0|
Geomorphology (Amst)|Geomorphology (Amsterdam, Netherlands)|101552567|0169-555X|1872-695X|1987|uuuu|0|
Discrete Continuous Dyn Syst Ser B|Discrete and continuous dynamical systems. Series B|101552619|1531-3492|1553-524X|2001|uuuu|0|
Microelectron Eng|Microelectronic engineering|101552621|0167-9317|1873-5568|1983|uuuu|0|
LSO Work Pap Linguist|LSO working papers in linguistics|101552629|||2000|uuuu|0|
J Midlife Health|Journal of mid-life health|101552746|0976-7800|0976-7819|2010|uuuu|0|
Biodiversity (Nepean)|Biodiversity (Nepean, Ont.)|101552791|1488-8386||2000|uuuu|0|
Povolz Ekol Z|Povolzhskii ekologicheskii zhurnal|101552796|1684-7318||2002|uuuu|0|
Biodivers Res Conserv|Biodiversity research and conservation|101552848|1897-2810|2080-945X|2006|uuuu|0|
BMJ Open|BMJ open|101552874||2044-6055|2011|uuuu|0|
J Cachexia Sarcopenia Muscle|Journal of cachexia, sarcopenia and muscle|101552883|2190-5991|2190-6009|2010|uuuu|0|
J Stem Cells Regen Med|Journal of stem cells & regenerative medicine|101552911||0973-7154|2006|uuuu|0|
Cell Oncol (Dordr)|Cellular oncology (Dordrecht)|101552938|2211-3428|2211-3436|1989|2010|3|Anal Cell Pathol (8911016) -Continued by-> Cell Oncol (101219418) -Continued by-> Anal Cell Pathol (Amst) (101541993) -Continued In Part By-> Cell Oncol (Dordr) (101552938)
J Biochem Technol|Journal of biochemical technology|101552966|0974-2328||2008|uuuu|0|
Contemp Clin Dent|Contemporary clinical dentistry|101552967|0976-237X|0976-2361|2010|uuuu|0|
Psychol Well Being|Psychology of well-being|101553122||2211-1522|2011|uuuu|0|
Int J Sports Phys Ther|International journal of sports physical therapy|101553140||2159-2896|2006|2010|1|N Am J Sports Phys Ther (101318564) -Continued by-> Int J Sports Phys Ther (101553140)
Vasc Cell|Vascular cell|101553155||2045-824X|2009|2010|1|J Angiogenes Res (101517302) -Continued by-> Vasc Cell (101553155)
Fluids Barriers CNS|Fluids and barriers of the CNS|101553157||2045-8118|2004|2010|1|Cerebrospinal Fluid Res (101237904) -Continued by-> Fluids Barriers CNS (101553157)
Org Med Chem Lett|Organic and medicinal chemistry letters|101553172||2191-2858|2011|uuuu|0|
J Ophthalmic Inflamm Infect|Journal of ophthalmic inflammation and infection|101553216||1869-5760|2010|uuuu|0|
HeilberufeScience|HeilberufeSCIENCE|101553221||2190-2100|2010|uuuu|0|
Geriatr Psychol Neuropsychiatr Vieil|Geriatrie et psychologie neuropsychiatrie du vieillissement|101553404|2115-8789|2115-7863|2011|uuuu|0|
Am J Islam Soc Sci|The American journal of Islamic social sciences|101553405|0887-7653||1985|uuuu|0|
Am lit Hist|American literary history|101553406|0896-7148|1468-4365|1989|uuuu|0|
Asian Agrihist|Asian agri-history|101553409|0971-7730||1997|uuuu|0|
Aschkenas (Wien)|Aschkenas|101553414|1016-4987||1991|uuuu|0|
Bios (Leverk)|Bios (Leverkusen, Germany)|101553427|0933-5315||1988|uuuu|0|
Chin Birds|Chinese birds : the international journal of ornithology|101553560|1674-7674||2010|uuuu|0|
Shanghai Nong Ye Xue Bao|Shanghai nong ye xue bao = Acta agriculturae Shanghai / Shanghai shi nong xue hui, Shanghai nong ye ke xue yuan zhu ban|101553589|1000-3924||1985|uuuu|0|
Clin Res Hepatol Gastroenterol|Clinics and research in hepatology and gastroenterology|101553659|2210-7401|2210-741X|1977|2010|1|Gastroenterol Clin Biol (7704825) -Continued by-> Clin Res Hepatol Gastroenterol (101553659)
Caribb Q|Caribbean quarterly|101553695|0008-6495||1949|uuuu|0|
Comparativ (Leipz)|Comparativ : Leipziger Beitrage zur Universalgeschichte und vergleichenden Gesellschaftsforschung|101553701|0940-3566||1991|uuuu|0|
Acute Med|Acute medicine|101553725|1747-4884|1747-4892|2005|uuuu|0|
Sel Pap Consort Revolut Eur 1759 1850|Selected papers / the Consortium on Revolutionary Europe, 1750-1850. Consortium on Revolutionary Europe, 1750-1850|101553777|1092-0013||1994|uuuu|0|
Adv Biosci Biotechnol|Advances in bioscience and biotechnology (Print)|101553812|2156-8456|2156-8502|2010|uuuu|0|
AIDS Res Treat|AIDS research and treatment|101553816|2090-1240|2090-1259|2010|uuuu|0|
Int J Mol Imaging|International journal of molecular imaging|101553817|2090-1712|2090-1720|2011|uuuu|0|
J Drug Deliv|Journal of drug delivery|101553818|2090-3014|2090-3022|2011|uuuu|0|
J Lipids|Journal of lipids|101553819|2090-3030|2090-3049|2011|uuuu|0|
J Pregnancy|Journal of pregnancy|101553823|2090-2727|2090-2735|2010|uuuu|0|
Int J Ophthalmol|International journal of ophthalmology|101553860|2222-3959|2227-4898|2008|uuuu|0|
Endocrinol Metab (Seoul)|Endocrinology and metabolism (Seoul, Korea)|101554139|2093-596X|2093-5978|2010|uuuu|0|
Eur Stud J|The European studies journal|101554216|0894-6337||1984|2002|0|
Environ Justice|Environmental justice (Print)|101554252|1939-4071|1937-5174|2008|uuuu|0|
Gastronomica (Berkeley Calif)|Gastronomica : the journal of food and culture|101554255|1529-3262|1533-8622|2001|uuuu|0|
Gesch Ggw (Graz)|Geschichte und Gegenwart|101554351|1017-1444||1982|2000|0|
Hanguk Kwahaksa Hakhoeji|Han'guk Kwahaksa Hakhoeji|101554427|1229-7895||1979|uuuu|0|
IEEE Symp Comput Intell Bioinforma Comput Biol Proc|IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology proceedings IEEE Symposium on Computational Intelligence in Bioinformatics and Computational Biology|101554435|||2009|uuuu|0|
Hisp Rev|Hispanic review|101554450|0018-2176|1553-0639|1933|uuuu|0|
Hist Technol|History and technology|101554451|0734-1512|1477-2620|1983|uuuu|0|
Nurs Child Young People|Nursing children and young people|101554473|2046-2336|2046-2344|1989|2011|1|Paediatr Nurs (9013329) -Continued by-> Nurs Child Young People (101554473)
Atmos Pollut Res|Atmospheric pollution research|101554506||1309-1042|2010|uuuu|0|
Biofuels|Biofuels|101554569|1759-7269|1759-7277|2010|uuuu|0|
Clin Investig (Lond)|Clinical investigation|101554582|2041-6792|2041-6806|1922|1991|1|Klin Wochenschr (2985205R) -Continued by-> Clin Investig (Lond) (101554582)
J Clin Bioinforma|Journal of clinical bioinformatics|101554637||2043-9113|2011|uuuu|0|
Conf Comput Vis Pattern Recognit Workshops|Conference on Computer Vision and Pattern Recognition Workshops IEEE Computer Society Conference on Computer Vision and Pattern Recognition. Workshops|101554644|||200u|uuuu|0|
